score,outlier,mins,top_region,n_regions,regions,title,channel,subs,views,category,url
54,0.9,392.7,US,2,"CA, US",EG SUDOWOODO | EG vs C9 - VCT Americas Stage 2 Play-Ins | !socials !vote,FNS,173000,164227,Gaming,https://youtu.be/sYynaXj_eBY
54,96.0,0.8,AU,4,"AU, CA, NL, SE",Brought Rotatrix to Open Sauce last week and the reactions were crazy,David Liu Creates,11200,1075367,Science & Tech,https://youtu.be/wZcOpO5uRMw
54,4.1,0.3,US,6,"AU, CA, CH, DK, NL, US",Only cool people wear their glasses like this 😎 #funny #comedy #family #siblings #sisters #meme,"Valeriia Litvinova, MS, RDN",1270000,5194854,Howto & Style,https://youtu.be/9NA0mw1X08E
53,7.3,1.0,US,3,"AU, CA, US",Something serious is happening in the animal council 👀#meeting #animals #cute #farm #dramatic,CritterZone03,135000,991289,Pets & Animals,https://youtu.be/lfqKgE65uS4
53,34.7,0.3,US,6,"AU, CA, GB, IE, SE, US",Sabrina Carpenter’s Response Had Seth Meyers REGRETTING His Question,Heartsnreels,93800,3261665,Entertainment,https://youtu.be/hynhLu18qmc
53,3.1,1.6,US,7,"AU, CA, GB, IE, NO, SE, US",Their reactions are perfect 🤣,Sierra Rose,875000,2725825,Pets & Animals,https://youtu.be/o5Owktai47g
53,121.4,1.0,US,1,US,"The cops are here, we're so busted... 👮 #shorts",QuantumCast,12000,1458687,Comedy,https://youtu.be/mXuPoz7W8qw
53,301.5,0.7,NL,1,NL,When They Evacuate a Roller Coaster,Static Nest,47600,14368040,Howto & Style,https://youtu.be/kjybkd0-zTU
53,0.5,30.0,NO,4,"AU, DK, IE, NO","$1 vs $100,000 Hotel Food",Nick DiGiovanni,44900000,24311296,Howto & Style,https://youtu.be/KqTAVprbJmg
53,29.3,0.2,NO,3,"CH, DK, NO",Bro Found The Most Scuffed Mirror Fix 💀,Auto Crash,184000,5383525,Autos & Vehicles,https://youtu.be/hiUfz8LA2Jo
53,152.3,0.2,US,1,US,be Jada lol #funny,Carmen’s mom,12400,1897675,Comedy,https://youtu.be/M1TeZGnotIY
52,0.9,662.9,NO,5,"AT, AU, CA, DK, NO",[EN-A] The International 2026 - Group Stage - Day 4,dota2,1320000,1204735,Gaming,https://youtu.be/SYzqkT76GkQ
